Search Results,"(""capri-sun"" OR ""capri sun"") AND (""quality"" OR ""genuine"" OR ""authentic"" OR ""sophisticated"" OR ""novel"" OR ""young"" OR ""refreshing"" OR ""cool"" OR ""comforting"" OR ""relaxing"" OR ""fun"" OR ""good"" OR ""great"" OR ""tasty"" OR ""inspirational"" OR ""optimistic"" OR ""happy"" OR ""confident"" OR ""cynical"" OR ""ambitious"" OR ""selfish"" OR ""superstitious"" OR ""practical"" OR ""creative"" OR ""emotional"" OR ""stylish"" OR ""impulsive"" OR ""political"" OR ""responsible"" OR ""spiritual"") between 20-Mar-2013 and 18-Sep-2013 language=English in Twitter",19800 total results,Showing from 1 to 15000,,,,,,,,,,
,,,,,,,,,,,,,
host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/skillworkshop,http://twitter.com/Skillworkshop/statuses/380291863775043584,2013-09-18T11:27:00Z,5,555,322,,,IE,"Dundalk Ireland , co louth",,RT @YABOYLILB live fast die young drink capri sun,3.80292E+17,Mesutous Özilious 
http://twitter.com/shanrandhawa,http://twitter.com/shanrandhawa/statuses/380291781335982080,2013-09-18T11:26:40Z,4,233,443,,,GB,London,,Capri-sun with a cap is just so perfectly practical! #bringbacksummer http://t.co/YSTCo7FrT3,3.80292E+17,Shan Randhawa
http://twitter.com/sipmy_capri_sun,http://twitter.com/SipMy_Capri_Sun/statuses/380288362969452544,2013-09-18T11:13:05Z,5,499,508,,,,,,Salaams and good morning,3.80288E+17,❤Ace❤
http://twitter.com/jimmadilloy,http://twitter.com/jimmadillOy/statuses/380285762840690689,2013-09-18T11:02:45Z,1,8,52,,,US,Texas,,Chicken nugget TV dinner. Capri Sun. Oz the great and powerful. #life #yay,3.80286E+17,stephen Shuffield
http://twitter.com/officialjride,http://twitter.com/Officialjride/statuses/380273613062303744,2013-09-18T10:14:29Z,5,606,515,,,,up up and away,,All I need is a Capri sun and I'm good,3.80274E+17,Ben Franklin
http://twitter.com/_retail_addict,http://twitter.com/_Retail_Addict/statuses/380240659015561216,2013-09-18T08:03:32Z,6,1123,1124,,,US,H&M's Fitting Room | Chicago,,grilled cheese and doritos and capri sun . . — with the crusts cut off? cool ranch & wild cherry? right? http://t.co/5avrOzkr3W,3.80241E+17,TheRecoveringAddict™
http://twitter.com/sammiecaira,http://twitter.com/sammiecaira/statuses/380230596662140928,2013-09-18T07:23:33Z,5,432,597,,,,,,Happy cos they sell Capri-sun at school,3.80231E+17,Princess Samos
http://twitter.com/misterknut,http://twitter.com/MisterKnut/statuses/380226682327539712,2013-09-18T07:07:59Z,2,18,74,,,,"Over your head, metaphysically",,@mintskittle Great now I want capri sun. wtf,3.80227E+17,Four more months...
