,dim1,dim2,,type
great,-0.48558529,-0.466394532,2,Adjective
happy,-0.177850797,0.328724329,2,Adjective
fun,0.728501861,-0.069471644,2,Adjective
cool,0.053515536,0.175940546,2,Adjective
young,1.064316825,-0.197681207,2,Adjective
refreshing,-0.378900157,0.923982759,2,Adjective
quality,-0.081526507,0.316585581,2,Adjective
tasty,-0.420317346,0.701538686,2,Adjective
relaxing,-0.203499983,0.229421916,2,Adjective
creative,0.055342955,0.245087037,2,Adjective
emotional,-0.274964768,0.413533715,2,Adjective
capri_sun,1.184682743,-0.170447226,10,Brands
coca_cola,-0.081860788,0.07135524,10,Brands
dr_pepper,-0.204796531,0.200674788,10,Brands
evian,0.206046584,-0.146899655,10,Brands
fanta,-0.182227735,0.423784448,10,Brands
lucozade,-0.703857923,-0.769429681,10,Brands
redbull,-0.173694868,-0.177977244,10,Brands
sprite,0.071318861,0.2677514,10,Brands
tropicana,0.178938664,-0.074329755,10,Brands
vinto,-0.317480844,0.366407884,10,Brands
volvic,-0.432046494,0.735879283,10,Brands
,,,50,
