,Dim 1,Dim2,,
quality,0.067334905,-0.029187853,1,Adjectives
genuine,-0.22920704,-0.054938369,1,Adjectives
authentic,0.074774489,-0.372315659,1,Adjectives
sophisticated,-0.101814572,-0.136882666,1,Adjectives
novel,0.070042024,-0.432368269,1,Adjectives
young,1.097993565,0.668561936,1,Adjectives
refreshing,-0.052797669,-0.499146651,1,Adjectives
cool,0.179081651,-0.09965259,1,Adjectives
comforting,0.524279255,0.040189929,1,Adjectives
relaxing,-0.100385109,-0.519465967,1,Adjectives
fun,0.861509578,0.430611033,1,Adjectives
good,-0.008048043,-0.343503879,1,Adjectives
great,-0.806680652,0.573885687,1,Adjectives
tasty,-0.222798905,-0.432979366,1,Adjectives
inspirational,-0.257436702,-0.52544213,1,Adjectives
optimistic,-0.115846804,0.259249439,1,Adjectives
happy,-0.055539996,-0.202279903,1,Adjectives
confident,0.027718098,0.050183239,1,Adjectives
cynical,-0.098268362,-0.832145378,1,Adjectives
ambitious,-0.824263495,0.409921855,1,Adjectives
selfish,0.11631888,-0.178713547,1,Adjectives
superstitious,-0.300950117,-0.039338383,1,Adjectives
practical,-0.054020681,-0.143364101,1,Adjectives
creative,0.067394981,-0.438544227,1,Adjectives
emotional,-0.139781015,-0.252085023,1,Adjectives
stylish,0.239702014,0.481804511,1,Adjectives
impulsive,-0.09090364,-0.453379847,1,Adjectives
political,0.205211957,-0.073214102,1,Adjectives
responsible,0.961377802,0.526989205,1,Adjectives
spiritual,-0.102265728,-0.787128421,1,Adjectives
capri_sun,0.9968733,0.527974905,10,Brands
coca_cola,-0.042096035,-0.225249626,10,Brands
dr_pepper,-0.073634029,-0.422810502,10,Brands
evian,0.128890104,0.211773876,10,Brands
fanta,-0.040109904,-0.408270477,10,Brands
lucozade,-0.864979562,0.587765048,10,Brands
redbull,-0.104165911,-0.326906559,10,Brands
sprite,0.049868016,-0.43306039,10,Brands
tropicana,0.106163198,0.006165608,10,Brands
vimto,-0.118549326,-0.43289136,10,Brands
volvic,-0.137406905,-0.516243397,10,Brands
,,,50,
