,great,happy,fun,cool,young,refreshing,quality,tasty,relaxing,creative,emotional
capri_sun,0.04102,0.04938,0.2616,0.07975,0.28924,0.00986,0.0044,0.00238,0.00114,0.00097,0.00158
coca_cola,0.14783,0.10345,0.06968,0.07611,0.03448,0.02714,0.00663,0.005,0.05632,0.01265,0.0052
dr_pepper,0.09976,0.11685,0.03401,0.0865,0.01012,0.01831,0.00523,0.00959,0.00453,0.0014,0.00541
evian,0.18539,0.10478,0.07489,0.09408,0.11972,0.00572,0.03818,0.0024,0.00111,0.01789,0.00535
fanta,0.09565,0.12556,0.05013,0.07188,0.01868,0.05581,0.00674,0.02707,0.01336,0.00106,0.00568
lucozade,0.59873,0.06474,0.01342,0.0369,0.01434,0.01235,0.00407,0.00759,0.00268,0.00092,0.00299
redbull,0.1392,0.07446,0.03982,0.0628,0.01942,0.00259,0.00453,0.00324,0.01295,0.00129,0.00162
sprite,0.07097,0.0654,0.0275,0.07704,0.0515,0.03996,0.00608,0.00628,0.00484,0.0205,0.00216
tropicana,0.16096,0.11738,0.16344,0.05536,0.04202,0.02109,0.00961,0.00465,0.00496,0.00574,0.00124
vinto,0.10699,0.13537,0.02511,0.05349,0.01055,0.03493,0.01892,0.02656,0.00619,0.00509,0.01019
volvic,0.10072,0.11799,0.01871,0.04029,0.00719,0.12662,0.01871,0.02014,0.00144,0.00288,0.00432
