"","quality","genuine","authentic","sophisticated","novel","young","refreshing","cool","comforting","relaxing","fun","good","great","tasty","inspirational","optimistic","happy","confident","cynical","ambitious","selfish","superstitious","practical","creative","emotional","stylish","impulsive","political","responsible","spiritual"
"capri_sun",50,0,1,3,5,3286,112,906,4,13,2972,2806,466,27,0,2,561,5,0,0,10,0,1,11,18,0,0,5,97,0
"coca_cola",65,9,5,9,17,338,266,746,2,552,683,4281,1449,49,11,2,1014,20,1,2,10,0,4,124,51,0,43,16,29,4
"dr_pepper",30,5,2,4,4,58,105,496,0,26,195,3448,572,55,7,0,670,1,1,0,8,0,0,8,31,0,0,1,7,0
"evian",207,19,1,5,1,649,31,510,3,6,406,1606,1005,13,1,0,568,11,0,0,8,1,2,97,29,208,0,27,7,0
"fanta",57,6,6,5,25,158,472,608,0,113,424,4388,809,229,0,1,1062,1,1,0,6,0,2,9,48,1,0,9,8,10
"lucozade",53,10,1,6,2,187,161,481,0,35,175,3089,7805,99,3,3,844,6,0,5,7,1,2,12,39,0,1,0,8,1
"redbull",14,1,1,1,0,60,8,194,1,40,123,1951,430,10,2,1,230,1,0,1,0,0,2,4,5,0,1,2,6,0
"sprite",59,2,7,3,2,500,388,748,1,47,267,6036,689,61,2,1,635,4,0,1,16,2,2,199,21,0,0,3,7,6
"tropicana",62,4,18,4,18,271,136,357,0,32,1054,2600,1038,30,0,1,757,4,0,1,1,0,3,37,8,2,4,4,3,0
"vinto",52,6,1,3,3,29,96,147,3,17,69,1532,294,73,1,0,372,0,0,0,3,0,0,14,28,1,0,2,2,0
"volvic",13,2,0,0,1,5,88,28,0,1,13,371,70,14,2,0,82,0,0,0,0,0,0,2,3,0,0,0,0,0
