"","quality","genuine","authentic","sophisticated","novel","young","refreshing","cool","comforting","relaxing","fun","good","great","tasty","inspirational","optimistic","happy","confident","cynical","ambitious","selfish","superstitious","practical","creative","emotional","stylish","impulsive","political","responsible","spiritual"
"big_ass_fans",3,0,0,0,0,0,0,5,0,0,0,13,11,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
"dyson",20,9,1,6,0,70,2,835,1,6,100,616,698,0,2,1,175,18,1,1,2,0,1,4,3,2,0,17,3,4
"honeywell",53,8,0,0,0,4,2,226,0,0,25,74,315,0,0,16,10,0,0,0,0,0,0,8,0,0,0,1,3,0
"vornado",1,0,0,0,0,0,0,7,0,0,8,11,12,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"hoover",13,37,10,2,46,156,4,205,0,6,180,712,1048,5,7,1,201,4,0,1,1,0,0,32,2,0,0,97,22,4
"oreck",1,203,0,0,0,1,0,2,0,0,4,12,21,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"shark",1,2,0,0,0,0,0,4,0,0,3,33,60,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0
"bissell",0,1,0,0,0,0,0,6,0,0,1,1,40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"irobot",0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"eureka",0,4,0,0,0,0,0,2,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miele",21,5,0,0,0,0,0,0,0,0,0,2,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
"gtech",4,0,0,0,0,0,0,6,0,0,4,106,31,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,2,0
