Segments,Media1,Media2,Media3,Media4,Media5,Media6,Media7,Media8,Media9,Media10,Media11
Traditional masses,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,,Read a local / regional newspaper at least once a week,,,Listen to the radio online at least once a week
Traditional masses,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Diamond dreamers,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Diamond dreamers,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Young Lovers,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Unbranded enthusiasts,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Young Lovers,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Traditional masses,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Young Lovers,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,,Listen to the radio online at least once a week
Traditional masses,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",,,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Traditional masses,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,,Listen to the radio online at least once a week
Young Lovers,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Reluctant rich,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,,,,
Traditional masses,Read a magazine at least once a week,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,Go to the cinema/movie theatre at least once a month,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,,
Traditional masses,,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",,Read a daily newspaper at least once a week,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,,Read a local / regional newspaper at least once a week,,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Young Lovers,Read a magazine at least once a week,,Use a mobile phone to access the Internet at least once a week,,Read a Sunday newspaper at least once a month,Access the Internet for something other than email at least once a week,,Read a local / regional newspaper at least once a week,Read magazines or newspapers online at least once a week,Listen to satellite radio at least once a week,Listen to the radio online at least once a week
Unbranded enthusiasts,,"Access a social networking site such as Facebook, MySpace or LinkedIn at least once a week",Use a mobile phone to access the Internet at least once a week,Read a daily newspaper at least once a week,,,Go to the cinema/movie theatre at least once a month,,,,
